session_id,start,stop,score
65d59726278f422ebae3456f36359bb9,05/03/23_00:44:19,05/03/23_00:46:01,57
c6d8a1ddd6b6433ebf52c12e1c2695eb,05/03/23_00:51:12,05/03/23_00:52:53,94
50abb316985141cca35abc48b2f63d39,05/03/23_00:53:22,05/03/23_00:56:11,74
eb40a4ec8d584df08bb5895c72102778,05/03/23_00:55:13,05/03/23_00:57:19,74
22e51da4124e4275a053e78b9ae81a00,05/03/23_05:02:45,05/03/23_05:04:06,63
06c5ddc4c76c4eabac8dd76271b623aa,05/03/23_05:22:11,05/03/23_05:25:57,35
c1dc417d01ce4d96ad583aee925c8372,05/03/23_05:21:03,05/03/23_05:26:02,64
